candidate_ref,name,email,phone,current_company,title
C:\Workspace\java\scrape_indeed\fed_part_1\1520.html#3677,Jay Ramirez,susanrogers@example.org,(615)759-4078x1618,JetBlue,Angular2 Software Developer
C:\Workspace\java\scrape_indeed\dba_part_1\1744.html#829,Michele Williams,kendragalloway@example.org,664-375-2553,"Reid, Ferguson and Sanchez",Database Administrator/ IT Support
C:\Workspace\java\scrape_indeed\sys_admin_part_1\864.html#24738,Devin Schaefer,gabriellecameron@example.org,505.964.1395,Wilkerson-Day,Systems Administrator
C:\Workspace\java\scrape_indeed\it_pm_part_1\835.html#9102,Charles Mcgee,julie69@example.com,(332)887-1012x269,Carlson-Mcdonald,North American I.T. Project Manager
C:\Workspace\java\scrape_indeed\it_pm_part_1\273.html#8114,Juan Dunlap,maldonadoamanda@example.com,001-551-446-2704x82814,Farmer-Ryan,Counselor
C:\Workspace\java\scrape_indeed\it_pm_part_1\2088.html#7401,Kerry Smith,tracy15@example.com,403.491.1718,"Alvarez, Pierce and Baker",Senior Project Manager
C:\Workspace\java\scrape_indeed\sys_admin_part_1\712.html#24570,Austin Johnson,chad34@example.net,838.729.9737x6311,Jenkins-Shields,Systems Administrator
C:\Workspace\java\scrape_indeed\fed_part_1\1259.html#3386,Matthew Lucas,powellmatthew@example.org,933.587.2624,Verizon,ReactJS Web Developer
C:\Workspace\java\scrape_indeed\soft_dav_part_1\258.html#22539,Angela Morton,,432-867-7360,Galloway LLC,Software Developer at Open Destinations
C:\Workspace\java\scrape_indeed\sys_admin_part_1\838.html#24709,Rachel Stanley,smoore@example.org,4982050097,"Miller, Lopez and Larson",Systems Administrator
C:\Workspace\java\scrape_indeed\web_dev_part_1\438.html#30530,Cynthia Wilson,bethwilliams@example.org,(799)385-4353x46247,"Superior Court of California,",Software Engineer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1220.html#18024,Marc Hart,jonesjason@example.com,(651)235-4278,Wipro,Python Developer
C:\Workspace\java\scrape_indeed\dba_part_1\8.html#2875,Kristen Huynh,mcmillandennis@example.org,682-944-9353,Whitehead-Mathis,Oracle Database Administrator
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\2653.html#19615,Jeff Hill,,(278)768-0112,"Tran, Jordan and Williams",Python Developer
C:\Workspace\java\scrape_indeed\java_dev_part_0\2449.html#13938,Timothy Stanton,,+1-815-586-9232x26025,Moore-Haynes,Software Consultant
C:\Workspace\java\scrape_indeed\dba_part_1\1887.html#987,Wesley White,benjamin96@example.com,001-556-798-1693x4060,Jacobs,"Database Administrator (DBA) Conceras, KeyW"
C:\Workspace\java\scrape_indeed\fed_part_1\10.html#3098,Carrie Carroll,akelley@example.com,336-699-5777x3872,"Beck, Harvey and Davis",Web Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\1953.html#7251,Cynthia Collins,dylanwilliams@example.com,+1-317-869-3676x320,ASM,IT Program Manager
C:\Workspace\java\scrape_indeed\it_pm_part_1\2367.html#7711,Robert Dominguez,pwilliams@example.org,927.488.9579x868,"Hensley, Cole and Walton",Contract Project Coordinator
C:\Workspace\java\scrape_indeed\net_admin_part_1\2726.html#16700,Destiny Strickland,rsims@example.com,443-545-5812,Benson-Mccarthy,Network Administrator/Computer Maintenance
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\2998.html#19997,Jason Daniels,abrown@example.com,001-590-996-7054x66889,Amazon,Python developer
C:\Workspace\java\scrape_indeed\dba_part_1\1790.html#880,Jeffrey Johnson,elizabeth62@example.com,(898)406-9901,Microsoft,Senior Database Administrator
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1724.html#18583,Catherine Green,jason55@example.com,264-517-0805x310,Boston,Sr. Python Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\1367.html#6600,Alex Hernandez,thomaswilson@example.org,645.829.9124x190,Broadata,Test Engineer & Technical Support
C:\Workspace\java\scrape_indeed\sys_admin_part_1\107.html#23898,Miguel Jones,curtisbarton@example.net,+1-819-905-8651x850,Hamilton LLC,Systems Administrator I
C:\Workspace\java\scrape_indeed\soft_dav_part_1\1772.html#21642,Sandra Zimmerman,,998-577-6945x314,Hudson-Barnett,Sr. Java Developer
C:\Workspace\java\scrape_indeed\soft_dav_part_1\588.html#23410,Johnny Nguyen,zlewis@example.com,949-948-0831x36783,Mcguire-Davis,Associate Software Engineer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1208.html#18010,Michael Torres,thomas85@example.com,001-485-557-4443x1351,MIT,Assistant Technical Staff
C:\Workspace\java\scrape_indeed\java_dev_part_0\2375.html#13856,John Hardy,tina34@example.org,(924)308-2400x842,"L3Harris Technologies,",Sr. Software Engineer
C:\Workspace\java\scrape_indeed\it_pm_part_1\2005.html#7310,Laura Harrison,dpeterson@example.com,511.367.1902x2941,US,IT PROJECT MANAGER
C:\Workspace\java\scrape_indeed\net_admin_part_1\1054.html#14843,Jennifer Carlson,kimberlyjames@example.com,496-549-9091x3341,Arnold and Sons,Network Administrator
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\2617.html#19575,Jerry Wheeler,antonio44@example.net,413.349.3618x324,Martin LLC,Software Developer III
C:\Workspace\java\scrape_indeed\it_pm_part_1\928.html#9205,Samantha Morse,smartinez@example.com,001-664-288-7719x065,Perez Ltd,Technical Project Coordinator
C:\Workspace\java\scrape_indeed\sys_admin_part_2\811.html#27356,Laura Sampson,barbara27@example.net,+1-374-429-6717x5655,Jenkins-Simpson,Linux Systems Administrator II
C:\Workspace\java\scrape_indeed\dba_part_1\119.html#213,Dwayne Gilmore,omartinez@example.net,324.980.8613,Holland and Sons,Oracle Database Administrator
C:\Workspace\java\scrape_indeed\sys_admin_part_2\1455.html#25395,Jennifer Olson,,(639)982-1465x8404,Griffin Group,LOGISTICIAN I
C:\Workspace\java\scrape_indeed\sys_admin_part_2\677.html#27206,Juan Daniels,mcantu@example.net,896.436.0576,BEX,Systems Administrator
C:\Workspace\java\scrape_indeed\fed_part_1\2992.html#5311,Andrew Shaw MD,sawyerscott@example.net,702.862.1745x961,Sims-Clay,Front- End Developer (taking more courses)
C:\Workspace\java\scrape_indeed\soft_dav_part_1\493.html#23305,Joshua Williamson II,,001-517-824-0050x45562,"Maldonado, White and Thompson",Co-founder / System Architect / Developer
C:\Workspace\java\scrape_indeed\java_dev_part_0\260.html#13961,Janet Vega,jdurham@example.org,647.840.7482x175,IL,Assistant Manager
C:\Workspace\java\scrape_indeed\it_sa_part_1\2767.html#11248,Joyce Turner,gcastaneda@example.org,(995)694-4064x0909,CareCentrix,Senior Security Architect / GRC
C:\Workspace\java\scrape_indeed\it_pm_part_1\919.html#9195,Crystal Pham,danaoliver@example.net,001-421-504-7095x21456,Buchanan LLC,Sr. Software Configuration Manger/ Project Manager
C:\Workspace\java\scrape_indeed\fed_part_1\2869.html#5174,Susan Rivas,robin74@example.net,317-912-3685x16048,Revlon,Sr. Front End UI Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\1855.html#7142,Samantha Bentley,,+1-459-231-7461,Torres Group,IT Project Manager
C:\Workspace\java\scrape_indeed\sys_admin_part_2\1619.html#25577,David Medina,qchavez@example.net,001-786-592-6179x640,Wallace-Young,Systems Administrator
C:\Workspace\java\scrape_indeed\it_sa_part_1\2659.html#11128,William Richardson,bruce43@example.org,513.590.0532x931,Nutramax,IT Support Technician
